weights,Sortino,Calmar,CVaR,Sharpe,Treynor,InfoRatio,CVaR_pos,score_equal,freq
[7.79478765e-04 8.06383112e-01 3.18044378e-02 1.61032971e-01],0.901900052398901,0.7338523238786522,-0.02814691495355547,0.9462391722360421,0.9539810461568123,0.9912272839412734,0.14506068792107818,0.7787100944221265,50
[5.56446299e-04 7.03583140e-01 7.11909834e-02 2.24669430e-01],0.8108009520346825,0.8083469386215528,-0.0312657957602419,0.909392485077241,0.9536434466072515,0.9848783703118873,0.18662212468819178,0.7756140528901345,45
[0.01164007 0.78931171 0.08330922 0.115739  ],0.9211520302265436,0.6699685787037717,-0.026332208126673376,0.9971331671048544,0.9536355165261968,0.9823977626481672,0.1208783521054177,0.7741942345524918,35
[0.00470509 0.83404258 0.06231765 0.09893467],0.9339854107330298,0.6559883870803502,-0.02580896213129831,0.98578253003561,0.9537231455532109,0.9920504874520333,0.11390570496103053,0.7725726109692109,25
[0.02597484 0.5879106  0.01797524 0.36813931],0.5701002091716901,0.9460794846007039,-0.04021864522602026,0.6758046443961372,0.9539044940886028,0.9469456372099143,0.3059255896233438,0.7331266765150654,12
[0.0415436  0.03796851 0.01299837 0.90748952],0.14495038309829875,0.16837260487863387,-0.09041903110208009,0.16593414174863352,0.9536255115844788,0.8998467788580351,0.9748835564682511,0.5512688294393885,10
[0.16288744 0.67088793 0.04999271 0.11623192],0.9500002357742524,0.7564692668334423,-0.022877451139973696,0.9579727900852462,0.9537637202646629,0.8170133517949703,0.07484111216324435,0.7516767461526364,8
[0.18514408 0.61070425 0.0070592  0.19709247],0.7714310415845796,0.9244037244433616,-0.025645421884227245,0.8355583336379624,0.9579145776268957,0.7942949176343147,0.11172640794430888,0.7325548338119039,3
