Date,Log_Return_AGG,Log_Return_Infrastructure,Log_Return_SP500,Log_Return_Gold
30/06/2014,-0.004397222,0.039282703,0.018879,0.05644087
31/07/2014,0.008775193,0,-0.0151947,-0.023719989
31/08/2014,-0.007765788,0,0.0369637,0.001452997
30/09/2014,0.007674775,0.017066291,-0.0156355,-0.060079807
31/10/2014,0.008248404,0,0.0229364,-0.039643285
30/11/2014,-0.0071568,0,0.0242375,0.013869352
31/12/2014,0.021407545,0.028006122,-0.0041973,0.00368197
31/01/2015,-0.012266797,0,-0.0315328,0.070700325
28/02/2015,0.003148192,0,0.0534389,-0.045529409
31/03/2015,-0.005132141,-0.002754969,-0.0175491,-0.02410096
30/04/2015,-0.006338878,0,0.0084847,-0.005835451
31/05/2015,-0.01169604,0,0.0104368,0.007829083
30/06/2015,0.005865119,0.044209534,-0.0212357,-0.017480058
31/07/2015,-0.005038256,0,0.0195497,-0.066333149
31/08/2015,0.005768983,0,-0.0646247,0.032713176
30/09/2015,-0.002102281,0.021690864,-0.0267987,-0.014565764
31/10/2015,-0.004401658,0,0.0797193,0.02368659
30/11/2015,-0.009140072,0,0.0005048,-0.070214297
31/12/2015,0.013267193,0.012537183,-0.0176857,-0.00122292
31/01/2016,0.005931486,0,-0.0520676,0.050269125
29/02/2016,0.007432957,0,-0.0041369,0.098572097
31/03/2016,0.000812458,-0.008175774,0.063905,0.001183518
30/04/2016,-0.001625576,0,0.0026957,0.045918114
31/05/2016,0.016671534,0,0.0152132,-0.06230322
30/06/2016,0.003726382,0.041508174,0.0009057,0.084290706
31/07/2016,-0.003282036,0,0.0349904,0.020988277
31/08/2016,-0.001600569,0,-0.0012199,-0.030984556
30/09/2016,-0.010017077,0.0268218,-0.0012352,0.010329287
31/10/2016,-0.027059456,0,-0.0196168,-0.036707661
30/11/2016,-0.002867054,0,0.0336035,-0.08185509
31/12/2016,0.002127956,0.027649852,0.0180371,-0.013958404
31/01/2017,0.003321649,0,0.0177263,0.045597139
28/02/2017,-0.000460681,0,0.0365231,0.036590485
31/03/2017,0.005330895,0.04334554,-0.0003893,-0.007500365
30/04/2017,0.005302627,0,0.0090501,0.016389312
31/05/2017,-0.002556379,0,0.0115097,8.68E-05
30/06/2017,0.002100361,0.025611389,0.0048023,-0.019511338
31/07/2017,0.00672791,0,0.019164,0.02020512
31/08/2017,-0.007275405,0,0.0005463,0.036501052
30/09/2017,-0.001095891,0.020585911,0.019119,-0.024764233
31/10/2017,-0.00375338,0,0.0219456,-0.011256185
30/11/2017,0.002290322,0,0.0276955,0.007588546
31/12/2017,-0.011504429,0.030902358,0.0097836,0.018842108
31/01/2018,-0.012106685,0,0.0546574,0.028892839
28/02/2018,0.003927441,0,-0.0397261,-0.016783495
31/03/2018,-0.010319041,0.009395324,-0.0272525,0.00309524
30/04/2018,0.003576811,0,0.0027151,-0.007775175
31/05/2018,-0.002445909,0,0.0213782,-0.006953865
30/06/2018,-0.001413827,0.024130432,0.0048307,-0.041450668
31/07/2018,0.003483832,0,0.035388,-0.023550099
31/08/2018,-0.008400635,0,0.0298143,-0.015811617
30/09/2018,-0.00961958,0.020057105,0.0042851,-0.009480803
31/10/2018,0.003916142,0,-0.0719293,0.019983798
30/11/2018,0.013163692,0,0.0177018,0.002965472
31/12/2018,0.010016466,0.019181385,-0.0962653,0.049752511
31/01/2019,-0.001957951,0,0.0757422,0.03168553
28/02/2019,0.016200308,0,0.0292956,-0.005261095
31/03/2019,-0.002390366,0.021941067,0.0177655,-0.015264315
30/04/2019,0.015436211,0,0.0385603,-0.009818675
31/05/2019,0.009382117,0,-0.0680409,0.013201026
30/06/2019,0.001076909,0.033209308,0.0666583,0.082770705
31/07/2019,0.022702048,0,0.0130428,0.010831168
31/08/2019,-0.007657477,0,-0.0182573,0.068765904
30/09/2019,0.000618293,0.027003905,0.0170352,-0.036938629
31/10/2019,-0.003095293,0,0.0202258,0.024383932
30/11/2019,-0.005417661,0,0.0334803,-0.032771283
31/12/2019,0.020537499,0.010722144,0.0281887,0.039548554
31/01/2020,0.012226469,0,-0.0016294,0.04261716
29/02/2020,-0.003972371,0,-0.0878595,6.30E-06
31/03/2020,0.013066463,-0.034122694,-0.1336678,0.015874987
30/04/2020,0.00315498,0,0.1194209,0.055915991
31/05/2020,0.004586774,0,0.0442865,0.015563294
30/06/2020,0.013217349,0.011561625,0.0182214,0.029650472
31/07/2020,-0.010509156,0,0.0536368,0.101951597
31/08/2020,-0.002369268,0,0.0677191,-0.003636801
30/09/2020,-0.006629859,0.026972519,-0.0400181,-0.035212557
31/10/2020,0.009168146,0,-0.0280557,-0.010088405
30/11/2020,-0.001776124,0,0.1021464,-0.058224566
31/12/2020,-0.006624791,0.033958672,0.036449,0.067222811
31/01/2021,-0.016496637,0,-0.0111991,-0.02117349
28/02/2021,-0.014485419,0,0.0257569,-0.072865479
31/03/2021,0.006657931,0.027864985,0.0415628,-0.013227937
30/04/2021,0.000611007,0,0.0510973,0.037826793
31/05/2021,0.00617635,0,0.0054715,0.073762159
30/06/2021,0.00966608,0.03473509,0.0219708,-0.076607272
31/07/2021,-0.003096777,0,0.0224932,0.032220851
31/08/2021,-0.009435257,0,0.0285781,-0.009334584
30/09/2021,-0.002438176,0.026077175,-0.0487378,-0.025427118
31/10/2021,0.00113275,0,0.0668582,0.008966186
30/11/2021,-0.005939401,0,-0.0083687,0.001821832
31/12/2021,-0.020354685,0.060939286,0.0426886,0.023507373
31/01/2022,-0.012414697,0,-0.0540181,-0.014225007
28/02/2022,-0.02939497,0,-0.0318628,0.057901805
31/03/2022,-0.04198018,0.042272924,0.0351482,0.019454956
30/04/2022,0.006106149,0,-0.0920678,-0.016968227
31/05/2022,-0.018037831,0,0.0000532,-0.033757198
30/06/2022,0.023914817,0.029661345,-0.0876516,-0.020959089
31/07/2022,-0.031717711,0,0.0872013,-0.023876064
31/08/2022,-0.046581401,0,-0.043367,-0.025651559
30/09/2022,-0.013070715,0.019840898,-0.0980492,-0.02681663
31/10/2022,0.033736643,0,0.0768346,-0.021757513
30/11/2022,-0.012492483,0,0.0523579,0.067229445
